star_age,log_Teff,log_R,log_center_T,log_center_Rho
1.042e+06,3.4544,-0.2924,5.777,0.347
1.660e+06,3.4559,-0.3144,5.795,0.408
2.673e+06,3.4564,-0.3222,5.801,0.430
4.246e+06,3.4573,-0.3351,5.812,0.466
6.730e+06,3.4595,-0.3776,5.847,0.586
1.079e+07,3.4598,-0.5405,5.977,1.061
1.718e+07,3.4536,-0.6529,6.058,1.397
2.773e+07,3.4431,-0.7407,6.110,1.660
4.395e+07,3.4276,-0.8110,6.138,1.871
6.998e+07,3.4043,-0.8716,6.146,2.052
1.127e+08,3.3692,-0.9228,6.134,2.207
1.807e+08,3.3086,-0.9628,6.103,2.327
2.904e+08,3.2135,-0.9863,6.070,2.397
4.667e+08,3.1617,-1.0029,6.037,2.447
7.499e+08,3.1126,-1.0183,5.998,2.493
1.194e+09,3.0519,-1.0315,5.954,2.532
1.897e+09,2.9861,-1.0417,5.911,2.564
3.069e+09,2.9142,-1.0507,5.867,2.590
5.000e+09,2.8331,-1.0578,5.828,2.609
7.998e+09,2.7680,-1.0628,5.794,2.624
1.297e+10,2.7090,-1.0672,5.758,2.638
